name,type,unit,orig_group,cat,cat_name,subcategory,subcategory_secondary,lifecycle,activation,validation,validation_note,severity,recommendation,behavior_risk,consumer,ctor_transfer_target,guard_chain,code_transforms,src_default,set_value,runtime,effective_value,effective_formula,derived_variable,dynamic_range,observed_baseline_range,effect,dependencies,evidence
InpEnableClusterGuard,bool,bool,RISK MANAGEMENT,6,Risk Allocation & Position Sizing,Directional exposure,,Rejected-retained,Gated-off,Rejected,"dups measured +$1,512 — correctly OFF",P2,Keep,None,CTradeOrchestrator::ExecuteSignal (CTradeOrchestrator.mqh:258-273),,"if(InpEnableClusterGuard && source!=FILE && m_pos_coordinator.HasOpenSameFamily(patternType,sig_type)) -> CLUSTER_GUARD reject; false => never runs",,false,(unpinned),false,false,static (init-effective = runtime scalar),—,—,—,"Would block same pattern-family + same-direction duplicate entries; off because duplicates are net-positive (+$1,512).",CPositionCoordinator::HasOpenSameFamily,CTradeOrchestrator.mqh:247-273.
InpMaxSameDirRisk,double,ratio/%,RISK MANAGEMENT,6,Risk Allocation & Position Sizing,Directional exposure,,Rejected-retained,No-op,Rejected,"same-dir caps TESTED+REJECTED — DD is breadth-driven, honest-backtest-baseline",P2,Keep,None,CTradeOrchestrator::ExecuteSignal (CTradeOrchestrator.mqh:722-762),,if(m_pos_coordinator!=NULL && InpMaxSameDirRisk>0.0 && final_risk_pct>0.0){ dir_risk=GetDirectionalOpenRiskPct; if breach -> reject or resize } ELSE skipped,,0.0,(unpinned),0.000000,0.0 (off = identity),static (init-effective = runtime scalar),—,—,—,Would cap Sigma open initial-stop risk per direction on top of the portfolio ceiling; 0 disables the whole block.,InpSameDirCapResize; CPositionCoordinator::GetDirectionalOpenRiskPct,MEMORY: same-direction exposure caps TESTED+REJECTED (DD is breadth-driven).
InpSameDirCapResize,bool,bool,RISK MANAGEMENT,6,Risk Allocation & Position Sizing,Directional exposure,,Rejected-retained,Gated-off,Rejected,parent cap rejected,P3,Keep,None,CTradeOrchestrator::ExecuteSignal (CTradeOrchestrator.mqh:730),,reached only inside the InpMaxSameDirRisk>0 branch (line 722); parent=0 => never evaluated,,false,(unpinned),false,false (inert while InpMaxSameDirRisk=0),static (init-effective = runtime scalar),—,—,—,Arm D: lot-resize-to-headroom vs hard-reject; dead while parent cap off.,InpMaxSameDirRisk,guard nested under InpMaxSameDirRisk>0 at CTradeOrchestrator.mqh:722.
InpDailyLossLimit,double,none,RISK MANAGEMENT,6,Risk Allocation & Position Sizing,Per-day/position caps,,Production,Active,Safety-derived,,P1,Keep,Medium,CDailyLossHaltExit (CDailyLossHaltExit.mqh:192); CRiskMonitor (seeded mq5:1813),,if(m_daily_pnl_pct <= -InpDailyLossLimit) -> halt/close (CDailyLossHaltExit.mqh:192),,3.0,3.0,3.000000,3.0,static (init-effective = runtime scalar),—,—,—,Halts new trading / triggers exit when day loss reaches -3%.,CRiskMonitor; CDailyLossHaltExit,"CDailyLossHaltExit.mqh:151,185,192,198,207."
InpMaxPositions,int,count/level,RISK MANAGEMENT,6,Risk Allocation & Position Sizing,Per-day/position caps,,Production,Active,Safety-derived,,P1,Keep,Medium,"UltimateTrader::OnTick (mq5:2837,3256, etc.); CTradeOrchestrator sleeve slot reservation (CTradeOrchestrator.mqh:1227)",,if(g_posCoordinator.GetBaselinePositionCount() < InpMaxPositions) proceed; sleeve: baseline > InpMaxPositions - InpSleeveSlotReserve => reject,,5,5,5,5,static (init-effective = runtime scalar),—,—,—,"Caps concurrent baseline positions at 5 (breadth control, a primary DD lever).",CPositionCoordinator::GetBaselinePositionCount; InpSleeveSlotReserve,"mq5:2837,3256; CTradeOrchestrator.mqh:1227. MEMORY: DD is breadth-driven — this is the primary breadth cap."
InpMaxTradesPerDay,int,count/level,RISK MANAGEMENT,6,Risk Allocation & Position Sizing,Per-day/position caps,,Production,Active,Safety-derived,"per-day trade budget, distinct axis from MaxPositions",P2,Keep,Low,CRiskMonitor (seeded mq5:1813); UltimateTrader::OnTick (mq5:2491 via g_riskMonitor.GetTradesToday()),,g_riskMonitor.CanTrade()/GetTradesToday() vs InpMaxTradesPerDay -> blocks further entries once budget hit,,5,5,5,5,static (init-effective = runtime scalar),—,—,—,Caps trade opens per day at 5; also enforced on the file-signal path (mq5:3248).,CRiskMonitor,"mq5:1813,2491,2496,3248."
InpMaxTotalExposure,double,none,RISK MANAGEMENT,6,Risk Allocation & Position Sizing,Portfolio exposure,,Production,Active,Safety-derived,"portfolio Sigma-risk backstop, Fix 4.2",P1,Keep,Medium,CTradeOrchestrator::ExecuteSignal (CTradeOrchestrator.mqh:637-715); CDisplay (mq5:1919),CDisplay,if(m_pos_coordinator!=NULL && InpMaxTotalExposure>0 && final_risk_pct>0){ open_risk=GetTotalOpenRiskPct(equity); if(open_risk+final_risk_pct>cap) rescale lot to headroom OR hard-reject },,5.0,5.0,5.000000,5.0,static (init-effective = runtime scalar),—,—,—,Account-wide open-risk ceiling; rescales candidate lot to headroom or rejects when book is at the cap.,CPositionCoordinator::GetTotalOpenRiskPct; sleeve caps (SB-0.1),CTradeOrchestrator.mqh:629-715. [SB-0.1] deliberately includes sleeve positions.
InpEnableCIScoring,bool,bool,RISK MANAGEMENT,6,Risk Allocation & Position Sizing,Regime risk mult,,Production,Active,Engineering-default,gold-calibrated choppiness +/-1 quality pt; forced false on non-gold profiles,P2,Keep,Low,CSetupEvaluator (CSetupEvaluator.mqh:298) via g_profileEnableCIScoring (mq5:291),,InpEnableCIScoring -> g_profileEnableCIScoring; if(g_profileEnableCIScoring && m_context!=NULL) apply CI +/-1 quality adjust -> shifts tier -> shifts tier risk,override,true,true,true,"true (gold); forced false on JPY/non-gold profiles (mq5:312,328)",runtime → g_profile* (ApplySymbolProfile); gold profile = 1:1 identity (except g_profileShortRiskMultiplier=InpShortRiskMultiplier vs module-default 0.5),g_profileEnableCIScoring (SymbolProfile.mqh),—,—,"Adds +/-1 setup-quality point from choppiness index, indirectly nudging the tier risk selected.",g_profileEnableCIScoring; SymbolProfile,"mq5:291,312,328; CSetupEvaluator.mqh:298. CI thresholds gold-calibrated -> off on non-gold."
InpEnableQualityTrendBoost,bool,bool,RISK MANAGEMENT,6,Risk Allocation & Position Sizing,Regime risk mult,,Test-only,Gated-off,Rejected,"$0 net, off",P2,Keep,None,UltimateTrader::OnTick (mq5:2960-2979),,if(InpEnableQualityTrendBoost && riskPercent>0 && regime==REGIME_TRENDING){ A+ x1.08 / B+ x0.88 }; false => never runs,,false,false,false,false,static (init-effective = runtime scalar),—,—,—,"Would quality-differentiate size in TRENDING (A+ up, B+ down); off ($0 net).",setupQuality; GetCurrentRegime,mq5:2960; slice note $0 net.
InpEnableRegimeRisk,bool,bool,REGIME RISK SCALING,6,Risk Allocation & Position Sizing,Regime risk mult,,Production,Active,Evidence-backed-adopted,"A/B tested, R2 wins",P2,Keep,Low,"CRegimeRiskScaler via g_regimeScaler (mq5:1827 Enable, mq5:2941-2945 ApplyToRisk)",,"InpEnableRegimeRisk -> g_regimeScaler.Enable; if(g_regimeScaler.IsEnabled()){ score=Evaluate(ctx); riskPercent=ApplyToRisk(riskPercent,score) }",,true,true,true,true,static (init-effective = runtime scalar),—,—,—,"Enables regime-aware size scaling (TREND up, VOLATILE down) with a 0.5x floor.",InpRegimeRiskTrending/Normal/Choppy/Volatile; CMarketContext,"mq5:1827,2941. Slice-listed CQualityTierRiskStrategy consumer is DEAD (never constructed); live path is g_regimeScaler."
InpEnableThrashCooldown,bool,bool,RISK MANAGEMENT,6,Risk Allocation & Position Sizing,Regime risk mult,,Production,Active,Engineering-default,blocks entries after >2 regime flips/4h,P2,Keep,Low,UltimateTrader::OnTick (mq5:2792),,else if(InpEnableThrashCooldown && g_marketContext.IsRegimeThrashing()) -> skip signal processing this bar,,true,true,true,true,static (init-effective = runtime scalar),—,—,—,Regime-instability entry block: no entries while regime flips >2x/4h.,CMarketContext::IsRegimeThrashing,mq5:2792.
InpRegimeRiskChoppy,double,ratio/%,REGIME RISK SCALING,6,Risk Allocation & Position Sizing,Regime risk mult,,Production,Historically-inactive,Unvalidated,comment claims 'A/B tested' but CHOPPY riskClass is unreachable at entry on gold: 0/815,P2,Document,None,"CRegimeRiskScaler (m_mult_choppy, set mq5:1829)",,riskClass==CHOPPY requires chopScore>=4 && trendScore<=2 (CRegimeRiskScaler.mqh:232) — never satisfied at entry on gold,,0.60,0.6,0.600000,0.60 (multiplier almost never applies),static (init-effective = runtime scalar),—,—,—,Would cut size to 0.6x in CHOPPY; the CHOPPY class is effectively unreachable so the multiplier is a no-op in practice.,InpEnableRegimeRisk; CRegimeRiskScaler chopScore,"VERIFIED FINDING: CHOPPY 0/815 at entry. Note CRegimeRiskScaler uses GetATRH1Current (ACTION-3b fix) so the choppy leg CAN score, but the class-priority gate still keeps it unreached at entry."
InpRegimeRiskNormal,double,ratio/%,REGIME RISK SCALING,6,Risk Allocation & Position Sizing,Regime risk mult,,Production,Active,Engineering-default,neutral anchor,P3,Keep,None,"CRegimeRiskScaler (m_mult_normal, set mq5:1828)",,default riskClass NORMAL -> riskMultiplier=m_mult_normal (CRegimeRiskScaler.mqh:240),,1.00,1.0,1.000000,1.0 (identity anchor),static (init-effective = runtime scalar),—,—,—,Neutral 1.0x for the NORMAL regime bucket.,InpEnableRegimeRisk,mq5:1828; CRegimeRiskScaler.mqh:238-242.
InpRegimeRiskTrending,double,ratio/%,REGIME RISK SCALING,6,Risk Allocation & Position Sizing,Regime risk mult,,Production,Active,Evidence-backed-adopted,A/B tested,P2,Keep,Low,"CRegimeRiskScaler::Evaluate/ApplyToRisk (m_mult_trending, set mq5:1828)",,"SetMultipliers(InpRegimeRiskTrending,...); riskClass==TRENDING (trendScore>=4 && chopScore<=2) -> riskMultiplier=m_mult_trending",,1.25,1.25,1.250000,1.25,static (init-effective = runtime scalar),—,—,—,+25% size in TRENDING regime.,InpEnableRegimeRisk; CRegimeRiskScaler score,mq5:1828; CRegimeRiskScaler.mqh:226-231.
InpRegimeRiskVolatile,double,ratio/%,REGIME RISK SCALING,6,Risk Allocation & Position Sizing,Regime risk mult,,Production,Active,Evidence-backed-adopted,A/B tested,P2,Keep,Low,"CRegimeRiskScaler (m_mult_volatile, set mq5:1829)",,"volScore>=4 -> riskClass=VOLATILE -> riskMultiplier=m_mult_volatile (CRegimeRiskScaler.mqh:220-224, highest priority)",,0.75,0.75,0.750000,0.75,static (init-effective = runtime scalar),—,—,—,-25% size in VOLATILE regime (highest-priority regime branch).,InpEnableRegimeRisk,mq5:1829; CRegimeRiskScaler.mqh:220-224.
InpEnableSessionRiskAdjust,bool,bool,SESSION RISK CONTROLS,6,Risk Allocation & Position Sizing,Session risk mult,,Production,Active,Evidence-backed-adopted,"London 31% WR, NY 52% WR evidence",P2,Keep,Low,UltimateTrader::OnTick (mq5:2849-2879),,if(InpEnableSessionRiskAdjust){ gmt=GetGMTHour; London(8-13)->InpLondonRiskMultiplier; NY(13-21)->InpNewYorkRiskMultiplier; Asia 1.0; if(mult<1.0) riskPercent*=mult },,true,true,true,true,static (init-effective = runtime scalar),—,—,—,Enables GMT-session risk scaling (London/NY cuts).,InpLondonRiskMultiplier; InpNewYorkRiskMultiplier; CSessionEngine::GetGMTHour,mq5:2849. Depends on g_sessionEngine GMT clock (multi-strategy-build: CSessionEngine is the live GMT clock).
InpEnableWednesdayReduction,bool,bool,RISK MANAGEMENT,6,Risk Allocation & Position Sizing,Session risk mult,,Test-only,Gated-off,Rejected,"-$101 net, correctly off",P2,Keep,None,UltimateTrader::OnTick (mq5:2883-2894),,if(InpEnableWednesdayReduction && riskPercent>0){ if(dow==Wednesday) riskPercent*=InpWednesdayRiskMult }; false => never runs,,false,false,false,false,static (init-effective = runtime scalar),—,—,—,Would scale Wednesday entries by InpWednesdayRiskMult; off (net -$101).,InpWednesdayRiskMult,mq5:2883; slice note -$101 net.
InpLondonRiskMultiplier,double,ratio/%,SESSION RISK CONTROLS,6,Risk Allocation & Position Sizing,Session risk mult,,Production,Active,Evidence-backed-adopted,London 31% WR -> half risk,P2,Keep,Low,UltimateTrader::OnTick (mq5:2858),,"gmt in [8,13) -> session_mult=InpLondonRiskMultiplier; applied only if <1.0 (mq5:2868)",,0.50,0.5,0.500000,0.5,static (init-effective = runtime scalar),—,—,—,Halves risk on London-session entries.,InpEnableSessionRiskAdjust,mq5:2858.
InpNewYorkRiskMultiplier,double,ratio/%,SESSION RISK CONTROLS,6,Risk Allocation & Position Sizing,Session risk mult,,Production,Active,Evidence-backed-adopted,NY 52% WR -> slight cut,P2,Keep,Low,UltimateTrader::OnTick (mq5:2863),,"gmt in [13,21) -> session_mult=InpNewYorkRiskMultiplier; applied only if <1.0",,0.90,0.9,0.900000,0.9,static (init-effective = runtime scalar),—,—,—,-10% risk on NY-session entries.,InpEnableSessionRiskAdjust,mq5:2863.
InpWednesdayRiskMult,double,ratio/%,RISK MANAGEMENT,6,Risk Allocation & Position Sizing,Session risk mult,,Test-only,Gated-off,Identity-default,inert while parent off,P3,Keep,None,UltimateTrader::OnTick (mq5:2890),,reached only inside if(InpEnableWednesdayReduction) block (mq5:2883),,0.85,0.85,0.850000,0.85 (inert while Wed reduction off),static (init-effective = runtime scalar),—,—,—,Wednesday size multiplier; dead until InpEnableWednesdayReduction=true.,InpEnableWednesdayReduction,mq5:2890 nested in disabled block.
InpBullMRShortAdxCap,double,count/level,SHORT PROTECTION,6,Risk Allocation & Position Sizing,Short-side protection,,Production,Active,Engineering-default,externalized from hardcoded formula,P2,Keep,Low,"CSignalValidator (CSignalValidator.mqh:360, 491 via m_bull_mr_short_adx_cap)",,seeded mq5:1241 -> m_bull_mr_short_adx_cap; short MR gate: allow MR short only if current_adx<=cap && macro<=... (line 491),,17.0,17.0,17.000000,17.0,static (init-effective = runtime scalar),—,—,—,ADX ceiling below which counter-trend/bull-context MR shorts are permitted.,macro_score (CMacroBias); CSignalValidator,"CSignalValidator.mqh:34,60,360,491."
InpBullMRShortMacroMax,int,none,SHORT PROTECTION,6,Risk Allocation & Position Sizing,Short-side protection,,Production,Active,Engineering-default,externalized constant,P2,Keep,Low,CSignalValidator (CSignalValidator.mqh:362 via m_bull_mr_short_macro_max),,seeded mq5:1241; macro_strong_bear = (macro_score <= m_bull_mr_short_macro_max) -> gates bull-context short admission,,-3,-3,-3,-3,static (init-effective = runtime scalar),—,—,—,Macro-score threshold defining a strong-bear macro that unlocks bull-context shorts.,CMacroBias::GetBiasScore (DXY leg live — see InpDXYSymbol),"CSignalValidator.mqh:35,61,362."
InpShortMRMacroMax,int,none,SHORT PROTECTION,6,Risk Allocation & Position Sizing,Short-side protection,,Production,Active,Engineering-default,externalized,P2,Keep,Low,"CSignalValidator (CSignalValidator.mqh:491,493 via m_short_mr_macro_max)",,seeded mq5:1242; MR short below 200EMA allowed only if current_adx<=cap && macro_score<=m_short_mr_macro_max (line 491),,0,0,0,0,static (init-effective = runtime scalar),—,—,—,Macro-score ceiling for permitting mean-reversion shorts below the 200 EMA.,InpBullMRShortAdxCap; CMacroBias score,"CSignalValidator.mqh:37,63,491,493."
InpShortRiskMultiplier,double,ratio/%,SHORT PROTECTION,6,Risk Allocation & Position Sizing,Short-side protection,,Rejected-retained,No-op,Rejected,short protection off since Test 5; 1.0 = identity,P2,Keep,None,CTradeOrchestrator::ExecuteSignal (CTradeOrchestrator.mqh:494-501),,if(sig_type==SHORT && InpShortRiskMultiplier<1.0 && riskPercent>0) riskPercent*=InpShortRiskMultiplier; at 1.0 the <1.0 guard is false,override,1.0,1.0,1.000000,1.0 (identity),runtime → g_profile* (ApplySymbolProfile); gold profile = 1:1 identity (except g_profileShortRiskMultiplier=InpShortRiskMultiplier vs module-default 0.5),g_profileShortRiskMultiplier (SymbolProfile.mqh),—,—,Would down-size shorts; 1.0 disables. Also mirrored via g_profileShortRiskMultiplier which ApplySymbolProfile sets to 1.0 on gold (overriding module default 0.5).,g_profileShortRiskMultiplier (SymbolProfile),CTradeOrchestrator.mqh:494. Also stored as m_short_risk_multiplier (ctor arg) but the LIVE gate reads the input directly.
InpShortTrendMaxADX,double,count/level,SHORT PROTECTION,6,Risk Allocation & Position Sizing,Short-side protection,,Production,Active,Engineering-default,,P2,Keep,Low,CSignalValidator (CSignalValidator.mqh:376 via m_short_trend_max_adx),,seeded mq5:1242; if(!IsMeanReversionPattern && current_adx > m_short_trend_max_adx) REJECT trend short (line 376),,50.0,50.0,50.000000,50.0,static (init-effective = runtime scalar),—,—,—,Rejects trend-following shorts when ADX exceeds 50 (too-extended trend).,CSignalValidator,"CSignalValidator.mqh:36,62,376."
InpShortTrendMinADX,double,count/level,SHORT PROTECTION,6,Risk Allocation & Position Sizing,Short-side protection,,Production,Active,Engineering-default,"WIRING NOTE: passed as positional arg 6 'strong_adx' -> m_validation_strong_adx, NOT a dedicated short-min member",P2,Keep,Low,"CSignalValidator (m_validation_strong_adx: CSignalValidator.mqh:371,403,408,448,499,618,627)",,mq5:1240 passes InpShortTrendMinADX as the 'strong_adx' ctor param -> m_validation_strong_adx; used as the ADX strong-trend threshold across short/counter-trend validation gates,,22.0,22.0,22.000000,22.0,static (init-effective = runtime scalar),—,—,—,ADX 'strong trend' level governing multiple short/counter-trend admit/reject branches in the validator.,CSignalValidator; current_adx,"mq5:1240 arg order; CSignalValidator.mqh:48-49 ctor param 'strong_adx', usage 371/448/618/627. NOTE the input name misleadingly implies a distinct 'short trend min ADX' member — it is actually the shared strong-ADX threshold."
InpEnableS3S6,bool,bool,RISK MANAGEMENT,6,Risk Allocation & Position Sizing,Strategy enablement,,Production,Active,Engineering-default,"enables Range-Edge-Fade S3 + Failed-Break-Reversal S6, replaces RangeBox+FBF",P2,Keep,Low,UltimateTrader::OnInit (mq5:1297-1310+),,if(InpEnableS3S6){ new CRangeBoxDetector; RegisterEntryPlugin(CFailedBreakReversal); RegisterEntryPlugin(CRangeEdgeFade); disable RangeBox+FBF },,true,true,true,true,static (init-effective = runtime scalar),—,—,—,"Swaps legacy RangeBox/FalseBreakoutFade for S3/S6 engines (both registered, replaced plugins disabled).",CRangeBoxDetector; InpEnableS6Short; register_patterns,mq5:1297; CRangeBoxEntry/CFalseBreakoutFadeEntry marked DEAD when InpEnableS3S6=true.
InpEnableS6Short,bool,bool,RISK MANAGEMENT,6,Risk Allocation & Position Sizing,Strategy enablement,,Test-only,Gated-off,Rejected,"-8.9R/6yr on gold, off; +1.7R on JPY where re-enabled",P2,Keep,None,CFailedBreakReversal::CheckForEntrySignal (CFailedBreakReversal.mqh:191) via g_profileEnableS6Short (mq5:293),,InpEnableS6Short -> g_profileEnableS6Short; if(!g_profileEnableS6Short) return signal (short side disabled),override,false,false,false,false (gold),runtime → g_profile* (ApplySymbolProfile); gold profile = 1:1 identity (except g_profileShortRiskMultiplier=InpShortRiskMultiplier vs module-default 0.5),g_profileEnableS6Short (SymbolProfile.mqh),—,—,Enables the short side of the S6 failed-break-reversal engine; off on gold (-8.9R).,g_profileEnableS6Short; InpEnableS3S6,"CFailedBreakReversal.mqh:191; mq5:293,314,330 (JPY profile re-enables)."
InpVolFilterCrash,bool,bool,RISK MANAGEMENT,6,Risk Allocation & Position Sizing,Volume filter (signal admission),,Production,Active,Evidence-backed-adopted,validated gate family,P2,Keep,None,CSignalOrchestrator (CSignalOrchestrator.mqh:738),,else if(pat_type==PATTERN_CRASH_BREAKOUT) apply_vol_filter=InpVolFilterCrash,,true,(unpinned),true,true,static (init-effective = runtime scalar),—,—,—,Enables volume admission filter on crash-breakout entries.,CCrashBreakoutEntry,CSignalOrchestrator.mqh:738.
InpVolFilterEngulfing,bool,bool,RISK MANAGEMENT,6,Risk Allocation & Position Sizing,Volume filter (signal admission),,Production,Active,Evidence-backed-adopted,VOLUME_FILTER validated healthy hard gate; do-not-relitigate — honest-backtest-baseline,P2,Keep,None,CSignalOrchestrator (CSignalOrchestrator.mqh:737),,if(pat_type==PATTERN_ENGULFING) apply_vol_filter=InpVolFilterEngulfing -> volume gate on Engulfing candidates,,true,(unpinned),true,true,static (init-effective = runtime scalar),—,—,—,Enables the tick-volume admission filter on Engulfing entries.,Engulfing entry family,MEMORY: VOLUME_FILTER VALIDATED as healthy hard gate.
InpVolFilterVolBreakout,bool,bool,RISK MANAGEMENT,6,Risk Allocation & Position Sizing,Volume filter (signal admission),,Production,Active,Evidence-backed-adopted,validated gate family,P2,Keep,None,CSignalOrchestrator (CSignalOrchestrator.mqh:739),,else if(pat_type==PATTERN_VOLATILITY_BREAKOUT) apply_vol_filter=InpVolFilterVolBreakout,,true,(unpinned),true,true,static (init-effective = runtime scalar),—,—,—,Enables volume admission filter on volatility-breakout entries.,Volatility breakout entry,CSignalOrchestrator.mqh:739.
InpMaxSlippagePoints,double,points,EXECUTION REALISM,7,Order Execution & Broker Constraints,Execution realism,,Rejected-retained,No-op,Rejected,,P2,Fix,Medium,CEnhancedTradeExecutor::CheckSlippage (CEnhancedTradeExecutor.mqh:2291-2292),,"SetSpreadSlippageLimits(...) -> m_max_slippage_points (2060); `if(m_max_slippage_points>0 && slippage>m_max_slippage_points) Print('SLIPPAGE WARNING ...')` (2291-2292) — WARN-ONLY, never rejects/reverses. The REAL fill-price guard is a HARDCODED 5% at ValidateExecutedPrice (CEnhancedTradeExecutor.mqh:1632).",,10,10.0,10.000000,"10.0 (points; warn-only, toothless)",static (init-effective = runtime scalar),—,—,—,Emits a per-fill slippage warning above 10 points but never blocks the trade; duplicates InpSlippage=10 in intent and gives a false sense of a hard slippage cap. Fix = enforce (reject) or remove.,InpSlippage (duplicate); hardcoded 5% guard at CEnhancedTradeExecutor.mqh:1632 (the actual reject),"CEnhancedTradeExecutor.mqh:1632,2280-2293. Verified finding."
InpEnableSessionQualityGate,bool,bool,EXECUTION INTELLIGENCE,7,Order Execution & Broker Constraints,Session-quality execution gate,,Production,Active,Engineering-default,,P3,Keep,Low,OnTick session-quality gate (UltimateTrader.mq5:2760),,`if(!shock_blocked && InpEnableSessionQualityGate && g_tradeExecutor != NULL)` (2760) -> reads GetSessionExecutionQuality() and applies block/reduce.,,true,true,true,true,static (init-effective = runtime scalar),—,—,—,"Enables the session-execution-quality gate (block below block-thresh, halve risk below reduce-thresh).",InpExecQualityBlockThresh; InpExecQualityReduceThresh; CEnhancedTradeExecutor::GetSessionExecutionQuality,UltimateTrader.mq5:2759-2776.
InpExecQualityBlockThresh,double,ratio/%,EXECUTION INTELLIGENCE,7,Order Execution & Broker Constraints,Session-quality execution gate,,Production,Active,Evidence-backed-adopted,,P3,Keep,Low,OnTick session-quality block (UltimateTrader.mq5:2763-2766),,`if(session_quality < InpExecQualityBlockThresh)` (2763) -> shock_blocked = true (BUG-1 FIX: actually blocks signal processing this bar).,,0.25,0.25,0.250000,0.25 (tightened from 0.30),static (init-effective = runtime scalar),—,—,—,Blocks all new entries on a bar whose session execution quality is below 0.25.,InpEnableSessionQualityGate; InpExecQualityReduceThresh (must be >= this),UltimateTrader.mq5:2763-2766.
InpExecQualityReduceThresh,double,ratio/%,EXECUTION INTELLIGENCE,7,Order Execution & Broker Constraints,Session-quality execution gate,,Production,Active,Engineering-default,,P3,Keep,Low,OnTick session-quality reduce (UltimateTrader.mq5:2768-2773),,"`else if(session_quality < InpExecQualityReduceThresh)` (2768) -> sq_factor = session_quality (FIX-5.5, separate factor combined with shock_factor at the apply site 2903).",,0.50,0.5,0.500000,0.50,static (init-effective = runtime scalar),—,—,—,"When session quality is below 0.50 (and above the block-thresh), scales entry risk by the quality value (combined with shock_factor, floored at InpMinSessionRiskFactor).",InpEnableSessionQualityGate; InpExecQualityBlockThresh; InpMinSessionRiskFactor,"UltimateTrader.mq5:2768-2773,2897-2909."
InpMinSessionRiskFactor,double,ratio/%,EXECUTION INTELLIGENCE,7,Order Execution & Broker Constraints,Session-quality execution gate,,Production,Active,Safety-derived,,P3,Keep,Low,OnTick combined-risk-factor floor (UltimateTrader.mq5:2904),,"combined_risk_factor = shock_factor * sq_factor (2903); `combined_risk_factor = MathMax(combined_risk_factor, InpMinSessionRiskFactor)` (2904); then signal.riskPercent *= combined_risk_factor (2909).",clamp,0.25,0.25,0.250000,0.25,static (init-effective = runtime scalar),—,—,—,Anti-sliver floor: caps the combined shock x session-quality risk reduction so two simultaneous reducers cannot drive size below 25% of nominal.,InpExecQualityReduceThresh (sq_factor); InpShockBarRangeThresh (shock_factor),UltimateTrader.mq5:2897-2909.
InpSlippage,int,points,EXECUTION,7,Order Execution & Broker Constraints,Slippage config,,Production,No-op,Broker-derived,,P3,Keep,Low,"g_trade.SetDeviationInPoints (UltimateTrader.mq5:1674) and CPositionCoordinator per-close CTrade deviation (CPositionCoordinator.mqh:2147,2206,2439,2515,2590,2639,2816,2882,3310,3348,3390,3471,3509,3551,4167)",,"Set as the CTrade max-deviation for the main executor and every partial/trail/kill CTrade; CTrade's own default is also 10, so on the config of record it is a no-op (documented at CPositionCoordinator.mqh:2147,4165).",,10,10,10,10 (points; == CTrade default),static (init-effective = runtime scalar),—,—,—,Maximum price deviation (points) tolerated on market order sends; equals CTrade's built-in default so it changes nothing on the config of record.,CTrade default deviation (10); InpMaxSlippagePoints (duplicate intent),"UltimateTrader.mq5:1674; CPositionCoordinator.mqh:2147,4165-4167."
InpMaxSpreadPoints,double,points,EXECUTION REALISM,7,Order Execution & Broker Constraints,Spread validation,,Production,Active,Broker-derived,,P3,Keep,Low,CEnhancedTradeExecutor::CheckSpreadGate (CEnhancedTradeExecutor.mqh:2076),,"SetSpreadSlippageLimits(InpMaxSpreadPoints, InpMaxSlippagePoints) (UltimateTrader.mq5:1684) -> m_max_spread_points (2059); `if(m_max_spread_points>0 && spread>m_max_spread_points)` -> reject (2076-2079). Called at signal-time (UltimateTrader.mq5:2787) and again internally at execution time (P2-08 dual-gate).",,50,50.0,50.000000,50.0 (points),static (init-effective = runtime scalar),—,—,—,Rejects signal processing / trade execution when the live spread exceeds 50 points.,"dual evaluation at signal+exec time (P2-08, consolidation suggested)","CEnhancedTradeExecutor.mqh:2057-2079; UltimateTrader.mq5:1684,2778-2790."
InpEnableBEMover,bool,bool,TRAILING STOP OPTIMIZER,8,Position Protection & Lifecycle,Breakeven,,Rejected-retained,Gated-off,Unvalidated,,P2,Fix,Medium,CPositionCoordinator trailing loop (CPositionCoordinator.mqh:3800),,`for(int t = (InpEnableBEMover ? -1 : 0); t < m_trailing_count; t++)` (3800) — false makes the loop start at t=0 and skip the t==-1 synthetic ACTIVE break-even proposal (FIX-2 at 3172/3796).,,false,(unpinned),false,false (active BE stop-move OFF; BE is IMPLICIT via trailing-loop path),static (init-effective = runtime scalar),—,—,—,"When false the trailing loop performs NO active break-even stop-move; the BE trigger only flips a diagnostic flag. FIX-2 arguably-should-be-on was left off. NOTE: this does NOT cover the anti-stall BE-move at 2909-2966, which moves the stop to BE independently (see NEW issue).",InpTrailBETrigger; InpTrailBEOffset; InpEnableAntiStall (separate BE-move path),"CPositionCoordinator.mqh:3172,3796,3800. Verified finding."
